RESTAURANT_ID,RESTAURANT_CUISINE,SHOW_RATE_US,RATING,RESTAURANT_LAT,RESTAURANT_LNG,RESTAURANT_CUSTOMER_DISTANCE,RESTAURANT_AREA_NAME,RESTAURANT_NAME,RESTAURANT_ADDRESS,RESTAURANT_CITY_NAME,STATE
35987,"[""Continental"",""Indian""]",FALSE,0,23.02591260000000000000,72.54212919999998000000,4,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
55332,[""Indian""],FALSE,0,23.01469830000000000000,72.56588820000000000000,6,Paldi & Ambawadi,Amardeep Restaurant,"29,30 Anilkunj Centre, Near Shefali centre, Paldi cross lane",Ahmedabad,Gujarat
35987,"[""Continental"",""Indian""]",FALSE,0,23.02591260000000000000,72.54212919999998000000,3,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
35987,"[""Continental"",""Indian""]",FALSE,0,23.02591260000000000000,72.54212919999998000000,4,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
55065,"[""North Indian"",""Chinese"",""Beverages"",""Biryani"",""Continental"",""Desserts"",""Fast Food"",""Snacks"",""Italian"",""Indian"",""Thalis""]",FALSE,0,23.01733300000000000000,72.56732299999999000000,3,Paldi & Ambawadi,Hotel The Lotus Park,"Iscon Square, Opposite Kothawala Flat, Ellisbridge, Paldi, Ahmedabad",Ahmedabad,Gujarat
35975,"[""North Indian"",""Chinese""]",FALSE,0,23.04360000000000000000,72.55144599999994000000,5,Navrangpura,Jay Nilkanth Food,"7 & 8, Ajay Centre, Opposite Memnagar Fire Station, Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,Gujarat
37687,[""American""],FALSE,0,23.01206800000000000000,72.51119050000000000000,1,Prahlad Nagar,McDonald's,"Shop no. A-04/05,Pegasus Commercial Co-op Soc Ltd,Praladnagar Road, Near AUDA Garden,Ahmedabad (W)",Ahmedabad,Gujarat
50755,[""Cafe""],TRUE,5,23.07356100000000000000,72.51427300000000000000,5,Science City,Yuvi The Cafe,"G/1, Shakti Arcade, Opposite Auda Water Tank, Science City, Sola Road, Sola, Ahmedabad",Ahmedabad,Gujarat
84557,"[""Snacks"",""South Indian"",""Beverages""]",FALSE,0,23.02946630000000000000,72.52752490000000000000,6,Prahlad Nagar,Hardy's Cafe,"GF-028, Satyam Mall, Opp - Saman Complex,Near Vishweshwar Mahadev Mandir,Satellite",Ahmedabad,Gujarat
60323,"[""Indian"",""Chinese"",""Continental""]",FALSE,0,23.04103300000000000000,72.52565800000002000000,4,Vastrapur,Brothers Brand,"SHOP NO 40 , GROUND FLOOR, ADVAIT COMPLEX, NR SANDESH PRESS, VASTRAPUR LAKE ROAD, VASTRAPUR - BOADAKDEV , AHMEDABAD",Ahmedabad,Gujarat
